Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Основы теории цифровой обработки сигналов. Учебное пособие,Умняшкин Сергей Владимирович,Техносфера:Мир цифровой обработки,773,1288,40,На складе
JavaScript с нуля до профи,Свекис Лоренс Ларс и др.,Питер:Библиотека программиста,2268,2908,22,На складе
Python для финансистов,Хилпиш Ив,Питер:Бестселлеры O`Reilly,2030,Нет старого прайса,Нет скидки,На складе
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,Краудер Ти Джей,Бомбора:Мировой компьютерный бестселлер,1772,2427,27,На складе
JavaScript. Креативное программирование. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2206,3676,40,На складе
JavaScript. Креативное программирование. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1919,3198,40,Ограничено
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,1370,2283,40,На складе
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,1192,1986,40,Ограничено
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,989,1649,40,На складе
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,860,1434,40,На складе
Программирование. Основы Python для инженеров. Учебное пособие для вузов,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1166,1943,40,Ограничено
Программирование. Основы Python. Учебное пособие для СПО,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1015,1691,40,Ограничено
C++ для IT-профессий. Учебник,Дирк Харди,Фолиант:Учебная литература,2189,Нет старого прайса,Нет скидки,На складе
Java для IT-профессий. Учебник,Дирк Харди,Фолиант:Учебная литература,3676,Нет старого прайса,Нет скидки,На складе
Создание микросервисов,Ньюмен Сэм,Питер:Бестселлеры O`Reilly,3010,Нет старого прайса,Нет скидки,На складе
Усовершенствованные структуры данных,Брасс Петер,ДМК-Пресс,3350,5583,40,На складе
Рекурсивная книга о рекурсии,Свейгарт Эл,Питер:Библиотека программиста,2268,2908,22,На складе
MySQL по максимуму,"Ботрос Сильвия, Тинли Джереми",Питер:Бестселлеры O`Reilly,2921,3745,22,На складе
Software. Ошибки и компромиссы при разработке ПО,"Лелек Томаш, Скит Джон",Питер:Библиотека программиста,3262,4182,22,На складе
Python для хакеров. Нетривиальные задачи и проекты,Воган Ли,Питер:Библиотека программиста,1972,2528,22,На складе
Методы линейного программирования,Божко Аркадий Николаевич и др.,Издательство МГТУ им. Н.Э.Баумана,488,814,40,Ограничено
Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей,Антонопулос Андреас М. и др.,ДМК-Пресс,3350,5583,40,На складе
Паттерны проектирования API,Гивакс Джей Джей,Питер:Библиотека программиста,3290,Нет старого прайса,Нет скидки,На складе
PostgreSQL 15 изнутри,Рогов Егор Валерьевич,ДМК-Пресс,2931,4885,40,Ограничено
Apache Kafka. Потоковая обработка и анализ данных,Шапира Гвен и др.,Питер:Бестселлеры O`Reilly,3045,Нет старого прайса,Нет скидки,На складе
Python и анализ данных,МакКинни Уэс,ДМК-Пресс,3016,5026,40,На складе
Алгоритмы,Эриксон Джефф,ДМК-Пресс,3350,5583,40,На складе
Алгоритмы принятия решений,Кохендерфер Майкл и др.,ДМК-Пресс,4187,6979,40,На складе
Структура и интерпретация классической механики,"Сассман Джеральд Джей, Уиздом Джек",ДМК-Пресс,2512,4187,40,На складе
Идиомы bash,"Олбинг Карл, Фоссен Джей Пи",Питер:Бестселлеры O`Reilly,1417,1817,22,На складе
Алгоритмы биоинформатики,"Компо Филлип, Певзнер Павел",ДМК-Пресс,4020,6700,40,На складе
Предварительная подготовка данных в Python. Том 1. Инструменты и валидация,Груздев Артем Владимирович,ДМК-Пресс,4020,6700,40,На складе
"Предварительная подготовка данных в Python. Том 2. План, примеры и метрики качества",Груздев Артем Владимирович,ДМК-Пресс,4020,6700,40,На складе
Прогнозирование. Принципы и практика,"Хайндман Роб, Атанасопулос Джордж",ДМК-Пресс,3016,5026,40,Ограничено
Прикладные нейро-нечеткие вычислительные системы и устройства,Бобырь Максим Владимирович и др.,ИНФРА-М:Научная мысль,1936,3226,40,На складе
"Красивый C++. 30 главных правил чистого, безопасного и быстрого кода","Дэвидсон Дж. Гай, Грегори Кейт",Питер:Для профессионалов,2786,Нет старого прайса,Нет скидки,На складе
Глубокое обучение с R и KERAS,Шолле Франсуа,ДМК-Пресс,3350,5583,40,На складе
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1010,1384,27,На складе
Разработка приложений на С++ в среде MATLAB (+CD),Подкур М.Л. и др.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,557,929,40,На складе
Silverlight. Практическое руководство,Браун Пит,Питер,1399,1793,22,На складе
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1135,1555,27,На складе
Изучаем Java,"Сьерра Кэтти, Бейтс Берт",Эксмо:Мировой компьютерный бестселлер,1590,2178,27,На складе
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С:1С: Предприятие 8.2,208,347,40,На складе
"Как настраивать ""1С: Предприятие 8.2"" при внедрении +СD",Ажеронок Валентин Александрович,1С:1С: Предприятие 8.2,202,336,40,На складе
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт: ,248,414,40,На складе
Руководство разработчика по Microsoft Enterprise Library,Хоумер Алекс и др.,Эком,563,938,40,Ограничено
Groovy и Grails. Практические советы,Абдул-Джавад Башар,ДМК-Пресс: ,2791,4652,40,Ограничено
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,Додека XXI век: ,1508,2513,40,На складе
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс: ,502,837,40,Ограничено
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,837,1395,40,На складе
Head First. Паттерны проектирования,Фримен Эрик и др.,Питер:Head First (O'Reilly),2099,Нет старого прайса,Нет скидки,На складе
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань:Компьютеры и программное обеспечение,1391,2319,40,На складе
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,3227,5378,40,На складе
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,1268,1737,27,На складе
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,2009,3349,40,На складе
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер:Библиотека программиста,1121,1437,22,На складе
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер:Библиотека программиста,1192,1528,22,На складе
Паттерны программирования игр,Нистрем Роберт,Бомбора:Мировой компьютерный бестселлер,1499,2053,27,На складе
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер:Бестселлеры O`Reilly,1945,2493,22,На складе
Как программировать на С++,"Дейтел Харви, Дейтел Пол Дж.",Бином,2889,Нет старого прайса,Нет скидки,На складе
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1919,3198,40,На складе
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,3434,5723,40,На складе
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,2009,3349,40,На складе
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс:Российский компьютерный бестселлер,965,1322,27,На складе
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel. Учебное пособие для вузов,Воскобойников Юрий Евгеньевич,Лань:Компьютеры и программное обеспечение,2311,3851,40,На складе
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань:Компьютеры и программное обеспечение,2878,4796,40,На складе
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань:Компьютеры и программное обеспечение,1119,1865,40,Ограничено
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1919,3198,40,Ограничено
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань:Компьютеры и программное обеспечение,1760,2933,40,Ограничено
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,3518,5863,40,На складе
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1676,2793,40,На складе
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора:Мировой компьютерный бестселлер,2078,2846,27,На складе
SQL за 10 минут,Форта Бен,Вильямс,1613,2688,40,На складе
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер:Библиотека программиста,1560,2000,22,На складе
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер:Бестселлеры O`Reilly,4099,5255,22,На складе
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,Диалектика,5699,9498,40,На складе
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,2345,3908,40,На складе
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань:Учебники для вузов. Специальная литература,2035,3392,40,На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1274,2123,40,На складе
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2096,3494,40,На складе
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,1185,1519,22,На складе
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,1088,1813,40,На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1758,2930,40,На складе
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус:Бакалавриат,1219,2032,40,Ограничено
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,2521,3232,22,На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,2731,3501,22,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,2213,2837,22,На складе
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,2428,4046,40,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,1597,2662,40,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1841,3069,40,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1841,3069,40,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,2459,3152,22,На складе
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,Лань:Учебники для вузов. Специальная литература,2171,3618,40,Ограничено
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,775,1193,35,Ограничено
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1676,2793,40,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,2512,4187,40,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2848,4746,40,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2848,4746,40,На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,3794,6323,40,На складе
"Python, например",Лейси Никола,Питер:Библиотека программиста,1589,2037,22,На складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,3227,5378,40,На складе
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1256,2093,40,На складе
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,1667,2778,40,На складе
C#. Основы программирования (+CD). Учебное пособие для СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2164,3607,40,На складе
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,3545,4545,22,На складе
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,1004,1674,40,Ограничено
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,837,1395,40,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,3016,5026,40,На складе
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,268,343,22,На складе
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1573,2621,40,На складе
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,2512,4187,40,Ограничено
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Бакалавриат,2258,3764,40,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,2048,3414,40,На складе
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань:Учебники для вузов. Специальная литература,551,919,40,Ограничено
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер:Head First (O'Reilly),2745,3519,22,На складе
Изучаем pandas,"Хейдт Майкл, Груздев Артем Владимирович",ДМК-Пресс,3184,5306,40,На складе
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс:Машинное обучение,1676,2793,40,На складе
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,6451,10752,40,На складе
C++. Полное руководство. Классическое издание,Шилдт Герберт,Вильямс,4840,8066,40,На складе
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,6451,10752,40,На складе
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,3227,5378,40,На складе
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,4086,6810,40,На складе
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1726,2877,40,Ограничено
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер:Для профессионалов,1705,2186,22,На складе
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,2177,3628,40,На складе
Java за 24 часа,Кейденхед Роджерс,Диалектика,1613,2688,40,На складе
Совершенный алгоритм. Основы,Рафгарден Тим,Питер:Библиотека программиста,1349,1730,22,На складе
Машинное обучение и TensorFlow,Шакла Нишант,Питер:Библиотека программиста,1639,2101,22,На складе
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1,Горелов Сергей Витальевич,Прометей,887,1479,40,На складе
Mathematica 5/6/7. Полное руководство,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1508,2513,40,Ограничено
Git для профессионального программиста,"Чакон Скотт, Страуб Бен",Питер:Библиотека программиста,1724,2210,22,На складе
C++. Базовый курс,Шилдт Герберт,Вильямс,3227,5378,40,На складе
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна",Лань:Учебники для вузов. Специальная литература,1439,2398,40,На складе
Основы алгоритмизации и программирования (ОП.04). Практикум,Серкова Екатерина Геннадьевна,Феникс:Среднее профессиональное образование,356,593,40,На складе
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора:Российский компьютерный бестселлер,1117,1530,27,На складе
"Компиляторы. Принципы, технологии и инструментарий",Ахо Альфред В. и др.,Диалектика,8064,13440,40,На складе
Архитектура вычислительных систем и Ассемблер,"Гагарина Лариса Геннадьевна, Кононова Александра Игоревна",Солон-пресс:Библиотека студента,922,1537,40,Ограничено
React в действии,Томас Марк Тиленс,Питер:Для профессионалов,1483,1901,22,Ограничено
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Высшее образование,1008,1680,40,На складе
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Среднее профессиональное образование,1040,1734,40,Ограничено
Java. Эффективное программирование,Блох Джошуа,Вильямс,4086,6810,40,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2766,3546,22,На складе
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2680,4466,40,На складе
Смарт-карты и информационная безопасность,"Мытник Константин Яковлевич, Панасенко Сергей Петрович",ДМК-Пресс:Безопасность и защита,1676,2793,40,На складе
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,3227,5378,40,На складе
Изучаем регулярные выражения,Форта Бен,Вильямс,1291,2152,40,На складе
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Диалектика,3227,5378,40,На складе
Python. Экспресс-курс,Седер Наоми,Питер:Библиотека программиста,2057,2637,22,На складе
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер:Классика computer science,2239,Нет старого прайса,Нет скидки,На складе
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,4086,6810,40,На складе
Алгоритмы. Построение и анализ,Кормен Томас и др.,Диалектика,9678,16130,40,На складе
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,2345,3908,40,На складе
Программируй на Haskell,Курт Уилл,ДМК-Пресс:Функциональное программирование,2680,4466,40,На складе
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Магистратура,3032,5054,40,На складе
Алгоритмы на C++,Седжвик Роберт,Вильямс,6451,10752,40,На складе
Python. Справочник. Полное описание языка,Мартелли Алекс и др.,Диалектика,4086,6810,40,На складе
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер:Библиотека программиста,979,1255,22,На складе
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,1004,1674,40,На складе
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань:Учебники для вузов. Специальная литература,938,1564,40,На складе
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань:Учебники для вузов. Специальная литература,1223,2039,40,Ограничено
Программируем на Python,Доусон Майкл,Питер,1396,Нет старого прайса,Нет скидки,На складе
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,1291,2152,40,На складе
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1,Кнут Дональд Эрвин,Вильямс,6451,10752,40,На складе
Практика программирования,"Керниган Брайан, Пайк Роб",Вильямс,2474,4123,40,На складе
Введение в системы баз данных,Дейт К. Дж.,Диалектика,6451,10752,40,На складе
Эволюционная архитектура. Поддержка непрерывных изменений,Форд Нил и др.,Питер:Бестселлеры O`Reilly,1270,1628,22,Ограничено
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,1488,1908,22,На складе
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1841,3069,40,На складе
Философия Java,Эккель Брюс,Питер:Классика computer science,3388,Нет старого прайса,Нет скидки,На складе
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1508,2513,40,На складе
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум:Среднее профессиональное образование,1629,2715,40,На складе
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум:Среднее профессиональное образование,1436,2393,40,Ограничено
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1340,2233,40,На складе
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,4840,8066,40,На складе
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,1340,2233,40,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1676,2793,40,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,2177,3628,40,На складе
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1936,3227,40,Ограничено
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,2371,3952,40,На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,1248,1600,22,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,2177,3628,40,На складе
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,1217,1560,22,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,669,1115,40,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1925,3209,40,На складе
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),3120,4000,22,На складе
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,335,559,40,Ограничено
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,545,908,40,На складе
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,3387,5645,40,На складе
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1492,2486,40,Ограничено
